document_number,last_name,first_name,gender,birth_date,class
AB1234567,Ivanov,Petr,male,1990-05-15,business
CD2345678,Smirnova,Anna,female,1985-12-03,business
EF3456789,Kuznetsov,Alexey,male,1992-08-21,business
GH4567890,Popova,Ekaterina,female,1988-03-14,business
IJ5678901,Sokolov,Dmitry,male,1991-11-30,business
KL6789012,Lebedeva,Olga,female,1987-07-22,business
MN7890123,Volkov,Sergey,male,1993-04-18,business
OP8901234,Novikova,Irina,female,1989-09-25,business
QR9012345,Fedorov,Maxim,male,1994-01-11,business
ST0123456,Morozova,Natalia,female,1986-06-08,business
