document_number,last_name,first_name,gender,birth_date,class
UV123930,Ivanos,Petros,male,1990-05-15,economy
WX223941,Smith,John,male,1985-08-22,economy
YZ323952,Johnson,Mary,female,1992-03-14,economy
AB423963,Williams,David,male,1988-11-30,economy
CD523974,Brown,Sarah,female,1991-07-18,economy
EF623985,Davis,Michael,male,1987-04-25,economy
GH723996,Wilson,Linda,female,1993-09-12,economy
IJ824007,Moore,Robert,male,1989-02-28,economy
KL924018,Taylor,Jennifer,female,1994-06-05,economy
MN024129,Anderson,James,male,1986-12-19,economy
OP124230,Thomas,Patricia,female,1990-10-08,economy
QR224341,Jackson,Richard,male,1984-05-17,economy
ST324452,White,Susan,female,1995-01-24,economy
UV424563,Harris,Charles,male,1983-08-03,economy
WX524674,Martin,Laura,female,1996-04-11,economy
YZ624785,Thompson,Daniel,male,1982-11-27,economy
AB724896,Garcia,Nancy,female,1997-07-15,economy
CD824907,Martinez,Paul,male,1981-02-09,economy
EF925018,Rodriguez,Karen,female,1998-09-22,economy
GH025129,Lee,Mark,male,1980-06-14,economy
IJ125230,Walker,Lisa,female,1999-03-07,economy
KL225341,Allen,Steven,male,1979-12-31,economy
MN325452,Young,Donna,female,2000-08-26,economy
OP425563,King,Edward,male,1978-10-13,economy
QR525674,Scott,Michelle,female,2001-05-04,economy
ST625785,Adams,Brian,male,1977-07-29,economy
UV725896,Baker,Amanda,female,2002-02-16,economy
WX825907,Gonzalez,Kevin,male,1976-04-23,economy
YZ925018,Nelson,Melissa,female,2003-11-09,economy
AB025129,Carter,Jason,male,1975-01-18,economy
CD125230,Mitchell,Rebecca,female,2004-09-05,economy
EF225341,Perez,Gary,male,1974-03-12,economy
GH325452,Roberts,Cynthia,female,2005-12-28,economy
IJ425563,Turner,Jeffrey,male,1973-06-21,economy
KL525674,Phillips,Kathleen,female,2006-04-02,economy
MN625785,Campbell,Gregory,male,1972-08-15,economy
OP725896,Parker,Amy,female,2007-01-30,economy
QR825907,Evans,Eric,male,1971-10-07,economy
ST925018,Edwards,Sandra,female,2008-07-24,economy
UV025129,Collins,Stephen,male,1970-05-19,economy
WX125230,Stewart,Barbara,female,2009-03-13,economy
YZ225341,Sanchez,Patrick,male,1969-12-06,economy
AB325452,Morris,Deborah,female,2010-08-31,economy
CD425563,Rogers,Timothy,male,1968-02-25,economy
EF525674,Reed,Sharon,female,2011-11-11,economy
GH625685,Cook,George,male,1967-09-08,economy
IJ725796,Morgan,Carol,female,2012-06-03,economy
KL825907,Bell,Ronald,male,1966-04-27,economy
MN926018,Murphy,Diane,female,2013-01-14,economy
OP026129,Bailey,Frank,male,1965-07-20,economy
