document_number,last_name,first_name,gender,birth_date,class
AB1234567,Ivanov,Petr,male,1990-05-15,economy
CD2345678,Smirnova,Anna,female,1985-12-20,business
EF3456789,Kuznetsov,Alexey,male,1978-03-10,economy
GH4567890,Popova,Ekaterina,female,1992-07-25,economy
IJ5678901,Sokolov,Dmitry,male,1988-11-30,business
KL6789012,Fedorova,Olga,female,1995-02-14,economy
MN7890123,Orlova,Irina,female,1982-09-05,business
OP8901234,Vasilev,Sergey,male,1975-06-18,economy
QR9012345,Nikolaeva,Tatiana,female,1998-04-22,economy
ST0123456,Petrov,Maxim,male,1991-08-12,business
